同一屋檐下	My Love, My home	-	-	新加坡	剧情	-	丽玲 / 陈之财 / 陈汉玮 / 曾诗梅	184,144	http://www.youku.com/show_page/id_z0711c83c9d8a11e196ac.html	20集全
世纪攻略	The Stratagem	-	-	新加坡	都市 / 言情 / 时装	-	郑惠玉 / 郑斌辉 / 陈之财 / 陈莉萍 / 郑各评	177,620	http://www.youku.com/show_page/id_zcbfd2440962411de83b1.html	20集全
三面夏娃	Pretty Faces	-	-	新加坡	剧情	-	郑惠玉 / 汤妙玲 / 林梅娇 / 沈金兴 / 王昌黎	171,045	http://www.youku.com/show_page/id_za355e294548a11e1b356.html	30集全
秘密花园	secret garden/秘密花园 新加坡版	2010-12-29	-	新加坡	言情 / 时装	-	黄腾浩 / 林湘萍 / 蔡琦慧 / 李文海 / 谭丽芳	169,130	http://www.youku.com/show_page/id_ze26dc20e9d9511e1a19e.html	13集全
花样人间	Joys Of Life	2012-06-29	优酷开播:2014-08-14	新加坡	剧情 / 偶像	-	黄鸿升 / 瑞恩 / 王乐妍 / 周初明 / 陈莉萍	165,507	http://www.youku.com/show_page/id_z7fa65b5cc03811e1b2ac.html	35集全
错爱今生	The Choice Paetner	1998-01-01	-	新加坡	言情	-	李铭顺 / 郑秀珍 / 谢韶光 / 颜俐蓁 / 杨越	157,165	http://www.youku.com/show_page/id_zcbfcc874962411de83b1.html	20集全
缘尽今生	Chronicle Of Life	1995-01-23	-	新加坡	家庭 / 言情 / 时装	-	范文芳 / 谢韶光 / 成建辉	139,165	http://www.youku.com/show_page/id_zcc16b770962411de83b1.html	25集全
豪门奇骗	The Scam/陷阱	1998-09-18	-	新加坡	悬疑 / 言情 / 时装	-	陈丽贞 / 郑文 / 吴开深 / 洪昭容 / 曾江	135,157	http://www.youku.com/show_page/id_zc66ebd58548211e1b356.html	25集全
创意先锋	-	优酷开播:2011-10-24	-	新加坡	剧情 / 都市	-	陈汉玮 / 许德才 / 洪昭容 / 曹国辉 / 秦锦丰	133,524	http://www.youku.com/show_page/id_z95c2bc2e5f6211e0a046.html	20集全
微笑正义	Poetic Justice	2012-09-11	-	新加坡	剧情 / 悬疑	-	瑞恩 / 戴阳天 / 林慧玲 / 陈泂江	131,903	http://www.youku.com/show_page/id_zcf84552afd4611e1b16f.html	更新至20
最火搭档	Unriddle	2010-08-04	-	新加坡	警匪	-	陈莉萍 / 瑞恩 / 郑斌辉 / 陈邦鋆 / 洪赐健	122,024	http://www.youku.com/show_page/id_zb70a4b8c0b2e11e097c0.html	更新至20
三个女人一个宝	-	2010-06-09	-	新加坡	剧情 / 家庭 / 搞笑 / 言情	-	许美珍 / 郭淑贤 / 郭蕙雯 / 戚玉武 / 郑各评	111,428	http://www.youku.com/show_page/id_ze68ba7c05e9911e0a046.html	20集全
奇迹	Making Miracles	2007-03-06	-	新加坡	时装	-	范文芳 / 白薇秀 / 林晓佩 / 宋怡霏 / 林明伦	108,209	http://www.youku.com/show_page/id_zcbfd1f9a962411de83b1.html	20集全
乌龙档案	PI Blus	1999-01-01	-	新加坡	悬疑	-	陈澍承 / 邱紫君 / 陈毓芸 / 姚玟隆 / 王衍任	108,191	http://www.youku.com/show_page/id_zc92c59f055ec11e0a046.html	20集全
孩有明天 第二部	-	2006-01-01	-	新加坡	剧情 / 儿童 / 都市 / 家庭 / 时装	-	李南星 / 欧萱 / 陈靓瑄 / 张耀栋 / 莫小玲	106,439	http://www.youku.com/show_page/id_zcbfcea70962411de83b1.html	20集全
三又二分之一女人	-	2007-08-01	-	新加坡	都市	-	陈丽贞 / 黄碧仁 / 林梅娇 / 赖怡玲	106,366	http://www.youku.com/show_page/id_zdb590260b95111de97c0.html	23集全
谜图	-	2008-04-07	优酷开播:2010-08-13	新加坡	都市	-	郑斌辉 / 白薇秀 / 陈泓宇 / 朱厚任 / 林慧玲	103,254	http://www.youku.com/show_page/id_zd6d83546d72211de97c0.html	20集全
活下去	A Life Of Hope	2005-03-21	优酷开播:2010-08-13	新加坡	言情	-	曾安琪 / 陈汉玮 / 郑斌辉 / 白薇秀 / 黄俊雄	98,549	http://www.youku.com/show_page/id_zcbfce246962411de83b1.html	20集全
让爱自邮	Always Yours	2006-03-21	-	台湾 / 新加坡	言情	-	邱泽 / 白薇秀 / 方展发 / 戚玉武 / 詹金泉	98,540	http://www.youku.com/show_page/id_zcbfd227e962411de83b1.html	8集全
心网追凶	-	-	-	新加坡	警匪	-	潘玲玲 / 陈丽贞 / 陈之财 / 谢韶光	98,159	http://www.youku.com/show_page/id_zcbfd56a4962411de83b1.html	20集全
凡间新仙人	happily ever after	2007-02-06	-	新加坡	神话	-	白薇秀 / 黄俊雄 / 谢宛谕 / 姚玟隆 / 陈莉萍	95,722	http://www.youku.com/show_page/id_zcbfcdbd4962411de83b1.html	20集全
天蝎行动	Coupe De Scorpion	-	-	新加坡	都市 / 言情 / 时装	-	陈松伶 / 范文芳 / 李铭顺 / 李南星	94,065	http://www.youku.com/show_page/id_zcbfd3958962411de83b1.html	30集全
亚当周记	Adam's Company	-	-	新加坡	都市 / 言情 / 时装	-	吴大维 / 王建复 / 赖怡伶 / 叶世品 / 陈丽贞	89,919	http://www.youku.com/show_page/id_zcc1694de962411de83b1.html	26集全
一加一等于三	1加1等于3	2003-01-01	-	新加坡	言情 / 时装	-	李南星 / 陈丽贞 / 林梅娇 / 潘玲玲 / 郑秀珍	89,097	http://www.youku.com/show_page/id_zcbfd65ae962411de83b1.html	30集全
